[83] : 287 => [20, 79] : 287 : 1.0 : 34.30662020905923
[20, 79] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83, 20] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [83, 76] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [76, 79] : 287 : 1.0 : 34.30662020905923
[76, 79] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83, 76] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [83, 24] : 287 : 1.0 : 34.30662020905923
[83] : 287 => [24, 79] : 287 : 1.0 : 34.30662020905923
[24, 79] : 287 => [83] : 287 : 1.0 : 34.30662020905923
[83, 24] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [82, 84] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [82, 79] : 287 : 1.0 : 34.30662020905923
[82, 79] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[82, 84] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [84, 78] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [78, 79] : 287 : 1.0 : 34.30662020905923
[78, 79] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84, 78] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [81, 84] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [81, 79] : 287 : 1.0 : 34.30662020905923
[81, 79] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[81, 84] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [84, 77] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [77, 79] : 287 : 1.0 : 34.30662020905923
[77, 79] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[84, 77] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [80, 84] : 287 : 1.0 : 34.30662020905923
[84] : 287 => [80, 79] : 287 : 1.0 : 34.30662020905923
[80, 79] : 287 => [84] : 287 : 1.0 : 34.30662020905923
[80, 84] : 287 => [79] : 287 : 1.0 : 34.30662020905923
[79] : 287 => [20, 84] : 287 : 1.0 : 34.30662020905923
