[80, 81, 82, 83, 24, 78] : 287 -> [20, 75] : 0 : 1.0
[81, 82, 83, 20, 24, 78] : 287 -> [80, 75] : 0 : 1.0
[80, 82, 83, 20, 24, 78] : 287 -> [81, 75] : 0 : 1.0
[80, 81, 82, 83, 20, 24] : 287 -> [75, 78] : 0 : 1.0
[80, 81, 83, 20, 24, 78] : 287 -> [82, 75] : 0 : 1.0
[80, 81, 82, 20, 24, 78] : 287 -> [83, 75] : 0 : 1.0
[80, 81, 82, 83, 20, 75, 78] : 287 -> [24] : 0 : 1.0
[80, 81, 82, 83, 24, 75, 78] : 287 -> [20] : 0 : 1.0
[81, 82, 83, 20, 24, 75, 78] : 287 -> [80] : 0 : 1.0
[80, 82, 83, 20, 24, 75, 78] : 287 -> [81] : 0 : 1.0
[80, 81, 82, 83, 20, 24, 75] : 287 -> [78] : 0 : 1.0
[80, 81, 83, 20, 24, 75, 78] : 287 -> [82] : 0 : 1.0
[80, 81, 82, 20, 24, 75, 78] : 287 -> [83] : 0 : 1.0
[80, 81, 82, 83, 20, 24, 78] : 287 -> [75] : 0 : 1.0
[75] : 287 -> [80, 81, 82, 83, 24, 76, 78] : 0 : 1.0
[78] : 291 -> [80, 81, 82, 83, 24, 75, 76] : 0 : 0.9862542955326461
[80] : 316 -> [81, 82, 83, 24, 75, 76, 78] : 0 : 0.9082278481012658
[81] : 294 -> [80, 82, 83, 24, 75, 76, 78] : 0 : 0.9761904761904762
[82] : 288 -> [80, 81, 83, 24, 75, 76, 78] : 0 : 0.9965277777777778
[83] : 287 -> [80, 81, 82, 24, 75, 76, 78] : 0 : 1.0
[83, 75] : 287 -> [80, 81, 82, 24, 76, 78] : 0 : 1.0
[82, 75] : 287 -> [80, 81, 83, 24, 76, 78] : 0 : 1.0
[75, 78] : 287 -> [80, 81, 82, 83, 24, 76] : 0 : 1.0
[81, 75] : 287 -> [80, 82, 83, 24, 76, 78] : 0 : 1.0
[80, 75] : 287 -> [81, 82, 83, 24, 76, 78] : 0 : 1.0
[75, 76] : 287 -> [80, 81, 82, 83, 24, 78] : 0 : 1.0
[24, 75] : 287 -> [80, 81, 82, 83, 76, 78] : 0 : 1.0
[82, 83] : 287 -> [80, 81, 24, 75, 76, 78] : 0 : 1.0
[83, 78] : 287 -> [80, 81, 82, 24, 75, 76] : 0 : 1.0
[81, 83] : 287 -> [80, 82, 24, 75, 76, 78] : 0 : 1.0
[80, 83] : 287 -> [81, 82, 24, 75, 76, 78] : 0 : 1.0
[83, 76] : 287 -> [80, 81, 82, 24, 75, 78] : 0 : 1.0
[83, 24] : 287 -> [80, 81, 82, 75, 76, 78] : 0 : 1.0
[82, 78] : 287 -> [80, 81, 83, 24, 75, 76] : 0 : 1.0
[81, 82] : 287 -> [80, 83, 24, 75, 76, 78] : 0 : 1.0
[80, 82] : 287 -> [81, 83, 24, 75, 76, 78] : 0 : 1.0
[82, 76] : 288 -> [80, 81, 83, 24, 75, 78] : 0 : 0.9965277777777778
[82, 24] : 288 -> [80, 81, 83, 75, 76, 78] : 0 : 0.9965277777777778
[81, 78] : 288 -> [80, 82, 83, 24, 75, 76] : 0 : 0.9965277777777778
[80, 78] : 288 -> [81, 82, 83, 24, 75, 76] : 0 : 0.9965277777777778
[76, 78] : 289 -> [80, 81, 82, 83, 24, 75] : 0 : 0.9930795847750865
[24, 78] : 288 -> [80, 81, 82, 83, 75, 76] : 0 : 0.9965277777777778
[80, 81] : 290 -> [82, 83, 24, 75, 76, 78] : 0 : 0.9896551724137931
[81, 76] : 293 -> [80, 82, 83, 24, 75, 78] : 0 : 0.9795221843003413
[81, 24] : 293 -> [80, 82, 83, 75, 76, 78] : 0 : 0.9795221843003413
[80, 76] : 294 -> [81, 82, 83, 24, 75, 78] : 0 : 0.9761904761904762
[80, 24] : 308 -> [81, 82, 83, 75, 76, 78] : 0 : 0.9318181818181818
[82, 83, 75] : 287 -> [80, 81, 24, 76, 78] : 0 : 1.0
[83, 75, 78] : 287 -> [80, 81, 82, 24, 76] : 0 : 1.0
[81, 83, 75] : 287 -> [80, 82, 24, 76, 78] : 0 : 1.0
[80, 83, 75] : 287 -> [81, 82, 24, 76, 78] : 0 : 1.0
[83, 75, 76] : 287 -> [80, 81, 82, 24, 78] : 0 : 1.0
[83, 24, 75] : 287 -> [80, 81, 82, 76, 78] : 0 : 1.0
[82, 75, 78] : 287 -> [80, 81, 83, 24, 76] : 0 : 1.0
[81, 82, 75] : 287 -> [80, 83, 24, 76, 78] : 0 : 1.0
[80, 82, 75] : 287 -> [81, 83, 24, 76, 78] : 0 : 1.0
[82, 75, 76] : 287 -> [80, 81, 83, 24, 78] : 0 : 1.0
[82, 24, 75] : 287 -> [80, 81, 83, 76, 78] : 0 : 1.0
[81, 75, 78] : 287 -> [80, 82, 83, 24, 76] : 0 : 1.0
[80, 75, 78] : 287 -> [81, 82, 83, 24, 76] : 0 : 1.0
[75, 76, 78] : 287 -> [80, 81, 82, 83, 24] : 0 : 1.0
[24, 75, 78] : 287 -> [80, 81, 82, 83, 76] : 0 : 1.0
[80, 81, 75] : 287 -> [82, 83, 24, 76, 78] : 0 : 1.0
[81, 75, 76] : 287 -> [80, 82, 83, 24, 78] : 0 : 1.0
[81, 24, 75] : 287 -> [80, 82, 83, 76, 78] : 0 : 1.0
[80, 75, 76] : 287 -> [81, 82, 83, 24, 78] : 0 : 1.0
[80, 24, 75] : 287 -> [81, 82, 83, 76, 78] : 0 : 1.0
[24, 75, 76] : 287 -> [80, 81, 82, 83, 78] : 0 : 1.0
[82, 83, 78] : 287 -> [80, 81, 24, 75, 76] : 0 : 1.0
[81, 82, 83] : 287 -> [80, 24, 75, 76, 78] : 0 : 1.0
[80, 82, 83] : 287 -> [81, 24, 75, 76, 78] : 0 : 1.0
[82, 83, 76] : 287 -> [80, 81, 24, 75, 78] : 0 : 1.0
[82, 83, 24] : 287 -> [80, 81, 75, 76, 78] : 0 : 1.0
[81, 83, 78] : 287 -> [80, 82, 24, 75, 76] : 0 : 1.0
[80, 83, 78] : 287 -> [81, 82, 24, 75, 76] : 0 : 1.0
[83, 76, 78] : 287 -> [80, 81, 82, 24, 75] : 0 : 1.0
[83, 24, 78] : 287 -> [80, 81, 82, 75, 76] : 0 : 1.0
[80, 81, 83] : 287 -> [82, 24, 75, 76, 78] : 0 : 1.0
[81, 83, 76] : 287 -> [80, 82, 24, 75, 78] : 0 : 1.0
[81, 83, 24] : 287 -> [80, 82, 75, 76, 78] : 0 : 1.0
[80, 83, 76] : 287 -> [81, 82, 24, 75, 78] : 0 : 1.0
[80, 83, 24] : 287 -> [81, 82, 75, 76, 78] : 0 : 1.0
[83, 24, 76] : 287 -> [80, 81, 82, 75, 78] : 0 : 1.0
